fias_id,address,porch,lat,lon,azimuth
4ac9429e-8697-49cd-bd49-89e050a49957,"Челябинск, ул. Каслинская, д. 23 В",5,55.186019793988,61.397436794716,267
4ac9429e-8697-49cd-bd49-89e050a49957,"Челябинск, ул. Каслинская, д. 23 В",4,55.186217421608,61.397417480938,267
4ac9429e-8697-49cd-bd49-89e050a49957,"Челябинск, ул. Каслинская, д. 23 В",3,55.186411450368,61.397398616317,267
4ac9429e-8697-49cd-bd49-89e050a49957,"Челябинск, ул. Каслинская, д. 23 В",2,55.186615500782,61.39737885338,267
4ac9429e-8697-49cd-bd49-89e050a49957,"Челябинск, ул. Каслинская, д. 23 В",1,55.186812354469,61.397359988759,267
4bdc8ebb-c693-45cc-923b-605055b6c891,"Челябинск, ул. Чичерина, д. 33",9,55.177310608476,61.300677009675,52
4bdc8ebb-c693-45cc-923b-605055b6c891,"Челябинск, ул. Чичерина, д. 33",8,55.177155606984,61.300885418821,52
4bdc8ebb-c693-45cc-923b-605055b6c891,"Челябинск, ул. Чичерина, д. 33",7,55.177014485697,61.301194439279,21
4bdc8ebb-c693-45cc-923b-605055b6c891,"Челябинск, ул. Чичерина, д. 33",6,55.17693351424,61.30156768928,21
4bdc8ebb-c693-45cc-923b-605055b6c891,"Челябинск, ул. Чичерина, д. 33",5,55.176861025367,61.301902760881,21
4bdc8ebb-c693-45cc-923b-605055b6c891,"Челябинск, ул. Чичерина, д. 33",4,55.176733012778,61.302190670929,52
4bdc8ebb-c693-45cc-923b-605055b6c891,"Челябинск, ул. Чичерина, д. 33",3,55.176573124989,61.302408961543,6
4bdc8ebb-c693-45cc-923b-605055b6c891,"Челябинск, ул. Чичерина, д. 33",2,55.176690598877,61.302656896562,320
4bdc8ebb-c693-45cc-923b-605055b6c891,"Челябинск, ул. Чичерина, д. 33",10,55.177476919519,61.30045332917,52
4bdc8ebb-c693-45cc-923b-605055b6c891,"Челябинск, ул. Чичерина, д. 33",1,55.176819125709,61.302928187777,320
fe3ced80-3973-4b91-a02a-f05cecab564a,"Челябинск, пр-кт. Комсомольский, д. 42",8,55.195876074473,61.335939028681,270
fe3ced80-3973-4b91-a02a-f05cecab564a,"Челябинск, пр-кт. Комсомольский, д. 42",7,55.196003511442,61.335939028681,270
fe3ced80-3973-4b91-a02a-f05cecab564a,"Челябинск, пр-кт. Комсомольский, д. 42",6,55.196129406433,61.335939477838,270
fe3ced80-3973-4b91-a02a-f05cecab564a,"Челябинск, пр-кт. Комсомольский, д. 42",5,55.196262751915,61.335939477838,270
fe3ced80-3973-4b91-a02a-f05cecab564a,"Челябинск, пр-кт. Комсомольский, д. 42",4,55.196385562966,61.335939477838,270
fe3ced80-3973-4b91-a02a-f05cecab564a,"Челябинск, пр-кт. Комсомольский, д. 42",3,55.196517366033,61.335939926996,270
fe3ced80-3973-4b91-a02a-f05cecab564a,"Челябинск, пр-кт. Комсомольский, д. 42",2,55.196637093197,61.335939926996,270
fe3ced80-3973-4b91-a02a-f05cecab564a,"Челябинск, пр-кт. Комсомольский, д. 42",1,55.196767610808,61.335939926996,270
5738a864-acaa-4be0-8807-00874493e389,"Челябинск, ул. Энгельса, д. 46 Б",2,55.151402819182,61.379108917132,89
5738a864-acaa-4be0-8807-00874493e389,"Челябинск, ул. Энгельса, д. 46 Б",1,55.151083867748,61.379172248359,89
ee314bda-29b4-4537-bf29-c6245ee0f6a6,"Челябинск, ул. Солнечная, д. 56",6,55.191029311743,61.316108718784,90
ee314bda-29b4-4537-bf29-c6245ee0f6a6,"Челябинск, ул. Солнечная, д. 56",5,55.190901858789,61.316109617099,90
ee314bda-29b4-4537-bf29-c6245ee0f6a6,"Челябинск, ул. Солнечная, д. 56",4,55.190773634536,61.31611141373,90
ee314bda-29b4-4537-bf29-c6245ee0f6a6,"Челябинск, ул. Солнечная, д. 56",3,55.190645666833,61.316113659518,90
ee314bda-29b4-4537-bf29-c6245ee0f6a6,"Челябинск, ул. Солнечная, д. 56",2,55.190519754432,61.316113659518,90
ee314bda-29b4-4537-bf29-c6245ee0f6a6,"Челябинск, ул. Солнечная, д. 56",1,55.190391015014,61.316116803621,90
65a855fb-fd64-406c-affd-a4a5295bb14f,"Челябинск, пр-кт. Комсомольский, д. 66 Б",1,55.196284847655,61.326261028967,89
