fias_id,address,porch,lat,lon,azimuth,source,error
404e6feb-c106-40d6-a816-d4903cfabc1c,"Челябинск, ул. Островского, д. 18 А",1,55.18910513968648,61.384425596140964,267,Yandex Maps,
7e3357d0-3a81-49f6-a424-763fabcef3d8,"Челябинск, ул. Захаренко, д. 9 Б",2,55.1984835691389,61.30674827352315,359,Yandex Maps,
7e3357d0-3a81-49f6-a424-763fabcef3d8,"Челябинск, ул. Захаренко, д. 9 Б",1,55.1984835691389,61.307107599636794,359,Yandex Maps,
ea5f8bff-8ff3-4523-9e32-6a5700443488,"Челябинск, ул. Энгельса, д. 54 А",3,55.14904328961726,61.37812840599928,358,Yandex Maps,
ea5f8bff-8ff3-4523-9e32-6a5700443488,"Челябинск, ул. Энгельса, д. 54 А",2,55.14905357894175,61.378433833195885,358,Yandex Maps,
ea5f8bff-8ff3-4523-9e32-6a5700443488,"Челябинск, ул. Энгельса, д. 54 А",1,55.14905872360301,61.37873027723964,358,Yandex Maps,
4ac9429e-8697-49cd-bd49-89e050a49957,"Челябинск, ул. Каслинская, д. 23 В",5,55.18601619607645,61.397442184607854,267,Yandex Maps,
4ac9429e-8697-49cd-bd49-89e050a49957,"Челябинск, ул. Каслинская, д. 23 В",4,55.186216650630676,61.39742421830217,267,Yandex Maps,
4ac9429e-8697-49cd-bd49-89e050a49957,"Челябинск, ул. Каслинская, д. 23 В",3,55.186417104171966,61.39740625199649,267,Yandex Maps,
4ac9429e-8697-49cd-bd49-89e050a49957,"Челябинск, ул. Каслинская, д. 23 В",2,55.18662269649541,61.3973882856908,267,Yandex Maps,
4ac9429e-8697-49cd-bd49-89e050a49957,"Челябинск, ул. Каслинская, д. 23 В",1,55.1868180082157,61.397370319385125,267,Yandex Maps,
4bdc8ebb-c693-45cc-923b-605055b6c891,"Челябинск, ул. Чичерина, д. 33",9,55.177313436026445,61.30065769589681,53,Yandex Maps,
4bdc8ebb-c693-45cc-923b-605055b6c891,"Челябинск, ул. Чичерина, д. 33",8,55.17715406467798,61.30088227471785,54,Yandex Maps,
